INFO 2025-06-27 16:52:04,028 autoreload 7976 6108 Watching for file changes with StatReloader
INFO 2025-06-27 16:53:43,980 basehttp 3912 4044 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:53:44,002 basehttp 3912 4044 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,009 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:44,257 basehttp 3912 7860 "OPTIONS /api/rooms/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,259 basehttp 3912 10380 "OPTIONS /api/bookings/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,262 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:44,264 basehttp 3912 1492 "OPTIONS /api/guests/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,271 basehttp 3912 7860 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,271 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:44,271 basehttp 3912 10380 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,281 basehttp 3912 10380 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,281 basehttp 3912 7860 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,300 basehttp 3912 4044 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,317 basehttp 3912 4044 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:49,680 basehttp 3912 4044 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:49,687 basehttp 3912 4044 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:53:49,693 basehttp 3912 4044 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:53:56,017 basehttp 3912 4044 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:53:56,025 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:56,254 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:56,256 basehttp 3912 7860 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,256 basehttp 3912 10380 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,258 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:56,265 basehttp 3912 1492 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,271 basehttp 3912 7860 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,271 basehttp 3912 10380 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,278 basehttp 3912 4044 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:15,111 autoreload 9408 9700 Watching for file changes with StatReloader
INFO 2025-06-27 16:55:18,109 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:18,110 views 9408 7056 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:18,110 basehttp 9408 7768 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,111 basehttp 9408 7056 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,113 basehttp 9408 9968 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,113 basehttp 9408 7256 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,120 views 9408 7768 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:18,120 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:18,122 basehttp 9408 7768 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,122 basehttp 9408 7056 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:19,141 basehttp 9408 7256 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:19,141 basehttp 9408 9968 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:19,141 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:19,154 views 9408 7768 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:19,156 basehttp 9408 7768 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:19,170 views 9408 9968 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:19,173 basehttp 9408 7056 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:19,173 basehttp 9408 9968 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:19,173 basehttp 9408 7256 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:19,173 basehttp 9408 9960 "GET /api/rooms/ HTTP/1.1" 200 2
WARNING 2025-06-27 16:55:30,129 log 9408 7056 Unauthorized: /api/auth/token/
WARNING 2025-06-27 16:55:30,130 basehttp 9408 7056 "POST /api/auth/token/ HTTP/1.1" 401 63
INFO 2025-06-27 16:55:33,902 basehttp 9408 9960 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:55:33,908 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:34,142 basehttp 9408 7056 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:34,142 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:34,143 basehttp 9408 7768 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:34,143 views 9408 9968 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:34,149 basehttp 9408 9968 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:34,151 basehttp 9408 7056 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:34,154 basehttp 9408 9960 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:34,154 basehttp 9408 7256 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:34,158 views 9408 9960 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:34,159 basehttp 9408 9960 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:36,738 basehttp 9408 9960 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:55:36,743 basehttp 9408 9960 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:57:36,567 basehttp 9408 5480 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:57:36,572 basehttp 9408 5480 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:57:37,291 basehttp 9408 9660 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:57:37,291 basehttp 9408 5480 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:57:37,292 views 9408 4232 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:57:37,294 basehttp 9408 7412 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:57:37,294 basehttp 9408 4232 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:57:37,301 basehttp 9408 7412 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:57:37,302 basehttp 9408 4232 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:57:37,302 views 9408 10644 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:57:37,304 basehttp 9408 10644 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:57:37,313 basehttp 9408 9660 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:57:58,806 autoreload 5724 4660 Watching for file changes with StatReloader
INFO 2025-06-27 16:58:03,763 basehttp 5724 9752 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:58:03,768 basehttp 5724 9752 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:58:03,955 basehttp 5724 9752 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:58:03,959 basehttp 5724 8064 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:03,959 views 5724 5312 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:58:03,959 basehttp 5724 10512 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:03,962 basehttp 5724 5312 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:03,962 basehttp 5724 10260 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:58:03,965 basehttp 5724 8064 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:03,966 views 5724 10260 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:58:03,966 basehttp 5724 10260 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:03,968 basehttp 5724 10512 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:30,242 basehttp 5724 9752 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:58:30,249 basehttp 5724 10260 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:58:30,490 basehttp 5724 10260 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:58:30,491 basehttp 5724 8064 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:30,491 views 5724 10512 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:58:30,491 basehttp 5724 5312 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:30,492 basehttp 5724 10512 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:58:30,539 views 5724 10512 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:58:30,542 basehttp 5724 8064 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:58:30,543 basehttp 5724 10512 "GET /api/guests/ HTTP/1.1" 200 2
